"","program","n","mean","median","sd","se","mean_se_high","mean_se_low"
"1","BR",21652,4.42305560687234,5,0.883987115155634,0.0060075435204623,4.42906315039281,4.41704806335188
"2","OF_blast",21533,4.42683323271258,5,0.901367872884939,0.00614256561639339,4.43297579832897,4.42069066709619
"3","OF_diamond",21807,4.41184023478699,5,0.917845707859756,0.00621543772685438,4.41805567251385,4.40562479706014
"4","OF_mmseqs",21659,4.42647398310171,5,0.904980009669009,0.00614921652241458,4.43262319962413,4.4203247665793
"5","ON",19596,4.61094100836906,5,0.75938675544029,0.00542474468390869,4.61636575305296,4.60551626368515
"6","SP_diamond",22163,4.35126111086044,5,0.93764707361124,0.0062983259047426,4.35755943676519,4.3449627849557
"7","SP_mmseqs",22191,4.35613537019512,5,0.931992640813395,0.00625639335936992,4.36239176355449,4.34987897683575
