"","BR...1","OF_blast...2","OF_diamond...3","OF_mmseqs...4","ON...5","SP_diamond...6","BR...7","OF_blast...8","OF_diamond...9","OF_mmseqs...10","ON...11","SP_diamond...12","BR...13","OF_blast...14","OF_diamond...15","OF_mmseqs...16","ON...17","SP_diamond...18","BR...19","OF_blast...20","OF_diamond...21","OF_mmseqs...22","ON...23","SP_diamond...24","BR...25","OF_blast...26","OF_diamond...27","OF_mmseqs...28","ON...29","SP_diamond...30"
"1",3.8454479592442e-13,NA,NA,NA,NA,NA,3.57623196248991e-19,NA,NA,NA,NA,NA,2.09150398254789e-12,NA,NA,NA,NA,NA,1.03862783197164e-10,NA,NA,NA,NA,NA,5.05493609056579e-37,NA,NA,NA,NA,NA
"2",1.74945477706752e-05,0.00586651832062451,NA,NA,NA,NA,4.9712098626935e-16,0.453784062394667,NA,NA,NA,NA,2.16456156889474e-05,0.00996965461323551,NA,NA,NA,NA,2.31653785456614e-08,0.416119266712392,NA,NA,NA,NA,2.91183903773894e-27,0.059900347051934,NA,NA,NA,NA
"3",2.07420137726345e-09,0.228052912105992,0.125647974961158,NA,NA,NA,1.52466493285265e-18,0.858325431467517,0.546263776242074,NA,NA,NA,4.46859501548358e-09,0.281736489413072,0.14067245302563,NA,NA,NA,3.12922203472619e-11,0.905067224408136,0.363638597881974,NA,NA,NA,1.59421268597754e-34,0.654227953714767,0.159536618853676,NA,NA,NA
"4",1.76647648542206e-227,1.21947210553338e-125,1.28002357840457e-155,2.15900140805225e-139,NA,NA,1.0639075607713e-266,6.1055601046627e-140,1.5958069755839e-150,2.39965951634659e-142,NA,NA,6.94495737934399e-216,6.75060705352144e-118,1.3751690408124e-145,2.18879159246404e-129,NA,NA,3.02918499309686e-233,1.35246647948988e-130,1.88788815792271e-142,2.84769956225626e-131,NA,NA,1.13862954227882e-247,5.35995347193087e-117,1.77638848837349e-134,1.32007356923371e-121,NA,NA
"5",2.17311637089755e-20,1.54025914905903e-58,3.28381170688933e-39,4.72784978323114e-50,0,NA,2.18805943841365e-73,1.25674798057125e-153,8.35293009943796e-145,5.34007546481601e-152,0,NA,2.67160493545981e-18,6.81573008251638e-53,6.627080693187e-36,1.96273878774835e-45,0,NA,4.98748566174026e-55,1.76498072452582e-96,4.60187657617143e-90,3.56379689106347e-99,0,NA,4.9784283010729e-16,2.68987695894713e-103,1.34135859696112e-85,5.35012420805454e-99,0,NA
"6",6.20583053523546e-22,2.98291391080102e-61,2.49813517780413e-41,1.56490354368875e-52,0,0.742712030308741,1.57311807141777e-76,3.5279951539383e-158,2.51273450981156e-149,1.49529831427498e-156,0,0.784919716926508,3.36986265591539e-20,3.60623854761552e-56,1.60140901489808e-38,1.94651672623918e-48,0,0.658518223490146,2.01946443853629e-56,3.00022558850071e-98,8.713018046495e-92,5.62147810474782e-101,0,0.897267695777633,7.23826733259038e-16,2.68987695894713e-103,1.4503491342366e-85,5.35012420805454e-99,0,0.932489356100225
