"","program...1","Ath","n...3","program...4","Chi","n...6","program...7","Cru","n...9","program...10","Tar","n...12","program...13","Aar","n...15"
"47","ON",2,3183,"ON",2,3302,"ON",2,3120,"ON",2,2912,"ON",2,2398
"48","ON",3,700,"ON",3,886,"ON",3,692,"ON",3,922,"ON",3,466
"49","ON",4,277,"ON",4,381,"ON",4,284,"ON",4,349,"ON",4,164
"50","ON",5,139,"ON",5,194,"ON",5,147,"ON",5,164,"ON",5,82
"51","ON",6,64,"ON",6,118,"ON",6,84,"ON",6,107,"ON",6,35
"52","ON",7,29,"ON",7,52,"ON",7,43,"ON",7,54,"ON",7,28
"53","ON",8,22,"ON",8,39,"ON",8,31,"ON",8,30,"ON",8,23
"54","ON",9,14,"ON",9,26,"ON",9,14,"ON",9,23,"ON",9,16
"55","ON",10,31,"ON",10,99,"ON",10,54,"ON",10,65,"ON",10,52
"56","SP_diamond",0,868,"SP_diamond",0,1605,"SP_diamond",0,1161,"SP_diamond",0,5117,"SP_diamond",0,5627
"57","SP_diamond",1,19494,"SP_diamond",1,19063,"SP_diamond",1,19148,"SP_diamond",1,15941,"SP_diamond",1,15586
"58","SP_diamond",2,1336,"SP_diamond",2,1139,"SP_diamond",2,1328,"SP_diamond",2,797,"SP_diamond",2,694
"59","SP_diamond",3,253,"SP_diamond",3,192,"SP_diamond",3,258,"SP_diamond",3,151,"SP_diamond",3,107
"60","SP_diamond",4,95,"SP_diamond",4,71,"SP_diamond",4,108,"SP_diamond",4,57,"SP_diamond",4,52
"61","SP_diamond",5,39,"SP_diamond",5,28,"SP_diamond",5,58,"SP_diamond",5,31,"SP_diamond",5,25
"62","SP_diamond",6,27,"SP_diamond",6,22,"SP_diamond",6,36,"SP_diamond",6,21,"SP_diamond",6,13
"63","SP_diamond",7,10,"SP_diamond",7,13,"SP_diamond",7,14,"SP_diamond",7,13,"SP_diamond",7,14
"64","SP_diamond",8,10,"SP_diamond",8,4,"SP_diamond",8,17,"SP_diamond",8,7,"SP_diamond",8,8
"65","SP_diamond",9,10,"SP_diamond",9,7,"SP_diamond",9,3,"SP_diamond",9,10,"SP_diamond",9,7
"66","SP_diamond",10,21,"SP_diamond",10,19,"SP_diamond",10,32,"SP_diamond",10,18,"SP_diamond",10,30
"67","SP_mmseqs",0,842,"SP_mmseqs",0,1586,"SP_mmseqs",0,1139,"SP_mmseqs",0,5122,"SP_mmseqs",0,5599
"68","SP_mmseqs",1,19595,"SP_mmseqs",1,19154,"SP_mmseqs",1,19251,"SP_mmseqs",1,15987,"SP_mmseqs",1,15675
"69","SP_mmseqs",2,1302,"SP_mmseqs",2,1114,"SP_mmseqs",2,1302,"SP_mmseqs",2,782,"SP_mmseqs",2,667
"70","SP_mmseqs",3,240,"SP_mmseqs",3,182,"SP_mmseqs",3,243,"SP_mmseqs",3,150,"SP_mmseqs",3,108
"71","SP_mmseqs",4,96,"SP_mmseqs",4,63,"SP_mmseqs",4,99,"SP_mmseqs",4,55,"SP_mmseqs",4,48
"72","SP_mmseqs",5,43,"SP_mmseqs",5,30,"SP_mmseqs",5,59,"SP_mmseqs",5,29,"SP_mmseqs",5,18
"73","SP_mmseqs",6,22,"SP_mmseqs",6,16,"SP_mmseqs",6,33,"SP_mmseqs",6,17,"SP_mmseqs",6,18
"74","SP_mmseqs",7,10,"SP_mmseqs",7,11,"SP_mmseqs",7,14,"SP_mmseqs",7,14,"SP_mmseqs",7,12
"75","SP_mmseqs",8,15,"SP_mmseqs",8,4,"SP_mmseqs",8,10,"SP_mmseqs",8,8,"SP_mmseqs",8,8
"76","SP_mmseqs",9,7,"SP_mmseqs",9,7,"SP_mmseqs",9,8,"SP_mmseqs",9,10,"SP_mmseqs",9,4
"77","SP_mmseqs",10,19,"SP_mmseqs",10,24,"SP_mmseqs",10,33,"SP_mmseqs",10,17,"SP_mmseqs",10,34
