SpPair,program,ploidy,category,n
TarAar,OFd,diploid,one:one,11032
TarAar,OFd,diploid,1:M,1088
TarAar,OFd,diploid,M:1,2217
TarAar,OFd,diploid,M:M,365
AthChi,OFm,diploid,one:one,15165
AthChi,OFm,diploid,1:M,1459
AthChi,OFm,diploid,M:1,903
AthChi,OFm,diploid,M:M,1976
AthCru,OFm,diploid,one:one,15950
AthCru,OFm,diploid,1:M,933
AthCru,OFm,diploid,M:1,837
AthCru,OFm,diploid,M:M,2098
AthTar,OFm,diploid,one:one,12195
AthTar,OFm,diploid,1:M,1741
AthTar,OFm,diploid,M:1,1150
AthTar,OFm,diploid,M:M,1348
AthAar,OFm,diploid,one:one,13479
AthAar,OFm,diploid,1:M,1255
AthAar,OFm,diploid,M:1,1890
AthAar,OFm,diploid,M:M,407
ChiCru,OFm,diploid,one:one,14925
ChiCru,OFm,diploid,1:M,961
ChiCru,OFm,diploid,M:1,1433
ChiCru,OFm,diploid,M:M,1928
ChiTar,OFm,diploid,one:one,11671
ChiTar,OFm,diploid,1:M,1613
ChiTar,OFm,diploid,M:1,1554
ChiTar,OFm,diploid,M:M,1449
ChiAar,OFm,diploid,one:one,12921
ChiAar,OFm,diploid,1:M,1226
ChiAar,OFm,diploid,M:1,2379
ChiAar,OFm,diploid,M:M,424
CruTar,OFm,diploid,one:one,12047
CruTar,OFm,diploid,1:M,1679
CruTar,OFm,diploid,M:1,1194
CruTar,OFm,diploid,M:M,1354
CruAar,OFm,diploid,one:one,13322
CruAar,OFm,diploid,1:M,1235
CruAar,OFm,diploid,M:1,1909
CruAar,OFm,diploid,M:M,399
TarAar,OFm,diploid,one:one,10977
TarAar,OFm,diploid,1:M,1084
TarAar,OFm,diploid,M:1,2280
TarAar,OFm,diploid,M:M,372
AthChi,ON,diploid,one:one,12508
AthChi,ON,diploid,1:M,1711
AthChi,ON,diploid,M:1,1009
AthChi,ON,diploid,M:M,3309
AthCru,ON,diploid,one:one,13383
AthCru,ON,diploid,1:M,950
AthCru,ON,diploid,M:1,906
AthCru,ON,diploid,M:M,3429
AthTar,ON,diploid,one:one,10258
AthTar,ON,diploid,1:M,2162
AthTar,ON,diploid,M:1,1607
AthTar,ON,diploid,M:M,2368
AthAar,ON,diploid,one:one,11263
AthAar,ON,diploid,1:M,1428
AthAar,ON,diploid,M:1,2055
AthAar,ON,diploid,M:M,1787
ChiCru,ON,diploid,one:one,12357
ChiCru,ON,diploid,1:M,1053
ChiCru,ON,diploid,M:1,1703
ChiCru,ON,diploid,M:M,3233
ChiTar,ON,diploid,one:one,9639
ChiTar,ON,diploid,1:M,2033
ChiTar,ON,diploid,M:1,2118
ChiTar,ON,diploid,M:M,2470
ChiAar,ON,diploid,one:one,10610
ChiAar,ON,diploid,1:M,1385
ChiAar,ON,diploid,M:1,2626
ChiAar,ON,diploid,M:M,1820
CruTar,ON,diploid,one:one,10177
CruTar,ON,diploid,1:M,2137
CruTar,ON,diploid,M:1,1613
CruTar,ON,diploid,M:M,2362
CruAar,ON,diploid,one:one,11164
CruAar,ON,diploid,1:M,1456
CruAar,ON,diploid,M:1,2067
CruAar,ON,diploid,M:M,1732
TarAar,ON,diploid,one:one,9178
TarAar,ON,diploid,1:M,1578
