SpPair,program,ploidy,category,n
CruAar,OFd,full,M:1,1629
CruAar,OFd,full,M:M,389
TarSal,OFd,full,one:one,7721
TarSal,OFd,full,1:M,5530
TarSal,OFd,full,M:1,1095
TarSal,OFd,full,M:M,1740
TarBra,OFd,full,one:one,7444
TarBra,OFd,full,1:M,6143
TarBra,OFd,full,M:1,969
TarBra,OFd,full,M:M,1915
TarCsa,OFd,full,one:one,1757
TarCsa,OFd,full,1:M,12143
TarCsa,OFd,full,M:1,309
TarCsa,OFd,full,M:M,2664
TarAar,OFd,full,one:one,11240
TarAar,OFd,full,1:M,1033
TarAar,OFd,full,M:1,2076
TarAar,OFd,full,M:M,360
SalBra,OFd,full,one:one,8896
SalBra,OFd,full,1:M,2203
SalBra,OFd,full,M:1,1380
SalBra,OFd,full,M:M,7223
SalCsa,OFd,full,one:one,1381
SalCsa,OFd,full,1:M,9194
SalCsa,OFd,full,M:1,824
SalCsa,OFd,full,M:M,7552
SalAar,OFd,full,one:one,8291
SalAar,OFd,full,1:M,656
SalAar,OFd,full,M:1,6604
SalAar,OFd,full,M:M,871
BraCsa,OFd,full,one:one,1391
BraCsa,OFd,full,1:M,8777
BraCsa,OFd,full,M:1,902
BraCsa,OFd,full,M:M,8488
BraAar,OFd,full,one:one,8019
BraAar,OFd,full,1:M,608
BraAar,OFd,full,M:1,7200
BraAar,OFd,full,M:M,953
CsaAar,OFd,full,one:one,1875
CsaAar,OFd,full,1:M,185
CsaAar,OFd,full,M:1,13630
CsaAar,OFd,full,M:M,1410
AthChi,OFm,full,one:one,15515
AthChi,OFm,full,1:M,1405
AthChi,OFm,full,M:1,855
AthChi,OFm,full,M:M,1860
AthCru,OFm,full,one:one,16327
AthCru,OFm,full,1:M,863
AthCru,OFm,full,M:1,756
AthCru,OFm,full,M:M,2006
AthTar,OFm,full,one:one,12562
AthTar,OFm,full,1:M,1633
AthTar,OFm,full,M:1,1066
AthTar,OFm,full,M:M,1309
AthSal,OFm,full,one:one,9104
AthSal,OFm,full,1:M,6939
AthSal,OFm,full,M:1,718
AthSal,OFm,full,M:M,1806
AthBra,OFm,full,one:one,8849
AthBra,OFm,full,1:M,7734
AthBra,OFm,full,M:1,597
AthBra,OFm,full,M:M,2036
AthCsa,OFm,full,one:one,1844
AthCsa,OFm,full,1:M,15526
AthCsa,OFm,full,M:1,154
AthCsa,OFm,full,M:M,2633
AthAar,OFm,full,one:one,13796
AthAar,OFm,full,1:M,1143
AthAar,OFm,full,M:1,1743
AthAar,OFm,full,M:M,421
ChiCru,OFm,full,one:one,15305
ChiCru,OFm,full,1:M,909
ChiCru,OFm,full,M:1,1360
ChiCru,OFm,full,M:M,1826
ChiTar,OFm,full,one:one,12063
ChiTar,OFm,full,1:M,1519
ChiTar,OFm,full,M:1,1465
ChiTar,OFm,full,M:M,1403
ChiSal,OFm,full,one:one,8765
ChiSal,OFm,full,1:M,6679
ChiSal,OFm,full,M:1,1013
ChiSal,OFm,full,M:M,2016
ChiBra,OFm,full,one:one,8471
ChiBra,OFm,full,1:M,7439
ChiBra,OFm,full,M:1,879
ChiBra,OFm,full,M:M,2282
ChiCsa,OFm,full,one:one,1811
ChiCsa,OFm,full,1:M,14689
ChiCsa,OFm,full,M:1,260
ChiCsa,OFm,full,M:M,3072
ChiAar,OFm,full,one:one,13280
ChiAar,OFm,full,1:M,1110
ChiAar,OFm,full,M:1,2193
ChiAar,OFm,full,M:M,443
CruTar,OFm,full,one:one,12419
CruTar,OFm,full,1:M,1580
CruTar,OFm,full,M:1,1100
CruTar,OFm,full,M:M,1325
CruSal,OFm,full,one:one,9029
CruSal,OFm,full,1:M,6892
CruSal,OFm,full,M:1,763
CruSal,OFm,full,M:M,1815
CruBra,OFm,full,one:one,8843
CruBra,OFm,full,1:M,7672
CruBra,OFm,full,M:1,604
CruBra,OFm,full,M:M,2113
CruCsa,OFm,full,one:one,1873
CruCsa,OFm,full,1:M,15471
CruCsa,OFm,full,M:1,155
CruCsa,OFm,full,M:M,2780
CruAar,OFm,full,one:one,13658
CruAar,OFm,full,1:M,1120
CruAar,OFm,full,M:1,1750
CruAar,OFm,full,M:M,422
TarSal,OFm,full,one:one,7348
TarSal,OFm,full,1:M,5784
TarSal,OFm,full,M:1,1035
TarSal,OFm,full,M:M,1852
TarBra,OFm,full,one:one,7042
TarBra,OFm,full,1:M,6416
TarBra,OFm,full,M:1,910
TarBra,OFm,full,M:M,2028
TarCsa,OFm,full,one:one,1509
TarCsa,OFm,full,1:M,12266
TarCsa,OFm,full,M:1,251
TarCsa,OFm,full,M:M,2752
TarAar,OFm,full,one:one,11257
TarAar,OFm,full,1:M,1019
TarAar,OFm,full,M:1,2132
TarAar,OFm,full,M:M,381
SalBra,OFm,full,one:one,8326
SalBra,OFm,full,1:M,2122
SalBra,OFm,full,M:1,1275
SalBra,OFm,full,M:M,7700
SalCsa,OFm,full,one:one,1117
SalCsa,OFm,full,1:M,8905
SalCsa,OFm,full,M:1,754
SalCsa,OFm,full,M:M,8010
SalAar,OFm,full,one:one,7995
SalAar,OFm,full,1:M,615
SalAar,OFm,full,M:1,6972
SalAar,OFm,full,M:M,914
BraCsa,OFm,full,one:one,1178
BraCsa,OFm,full,1:M,8425
BraCsa,OFm,full,M:1,771
BraCsa,OFm,full,M:M,9046
BraAar,OFm,full,one:one,7679
BraAar,OFm,full,1:M,569
BraAar,OFm,full,M:1,7634
BraAar,OFm,full,M:M,998
CsaAar,OFm,full,one:one,1635
CsaAar,OFm,full,1:M,151
CsaAar,OFm,full,M:1,13929
CsaAar,OFm,full,M:M,1443
AthChi,ON,full,one:one,13512
AthChi,ON,full,1:M,1698
AthChi,ON,full,M:1,963
AthChi,ON,full,M:M,2746
AthCru,ON,full,one:one,14451
AthCru,ON,full,1:M,882
AthCru,ON,full,M:1,888
AthCru,ON,full,M:M,2829
AthTar,ON,full,one:one,11085
AthTar,ON,full,1:M,2152
AthTar,ON,full,M:1,1394
AthTar,ON,full,M:M,2034
AthSal,ON,full,one:one,7615
AthSal,ON,full,1:M,7150
AthSal,ON,full,M:1,777
AthSal,ON,full,M:M,2778
AthBra,ON,full,one:one,7598
AthBra,ON,full,1:M,7500
AthBra,ON,full,M:1,639
AthBra,ON,full,M:M,3013
AthCsa,ON,full,one:one,342
AthCsa,ON,full,1:M,15065
AthCsa,ON,full,M:1,68
AthCsa,ON,full,M:M,3677
AthAar,ON,full,one:one,12092
AthAar,ON,full,1:M,1450
AthAar,ON,full,M:1,1843
AthAar,ON,full,M:M,1437
ChiCru,ON,full,one:one,13393
ChiCru,ON,full,1:M,998
ChiCru,ON,full,M:1,1728
ChiCru,ON,full,M:M,2625
ChiTar,ON,full,one:one,10427
ChiTar,ON,full,1:M,2024
ChiTar,ON,full,M:1,1943
ChiTar,ON,full,M:M,2120
ChiSal,ON,full,one:one,7161
ChiSal,ON,full,1:M,6792
ChiSal,ON,full,M:1,1166
ChiSal,ON,full,M:M,3089
ChiBra,ON,full,one:one,7109
ChiBra,ON,full,1:M,7144
ChiBra,ON,full,M:1,1032
ChiBra,ON,full,M:M,3302
ChiCsa,ON,full,one:one,297
ChiCsa,ON,full,1:M,14163
ChiCsa,ON,full,M:1,80
ChiCsa,ON,full,M:M,4326
ChiAar,ON,full,one:one,11414
ChiAar,ON,full,1:M,1391
ChiAar,ON,full,M:1,2455
ChiAar,ON,full,M:M,1474
CruTar,ON,full,one:one,11032
CruTar,ON,full,1:M,2144
CruTar,ON,full,M:1,1382
CruTar,ON,full,M:M,2000
CruSal,ON,full,one:one,7583
CruSal,ON,full,1:M,7160
CruSal,ON,full,M:1,800
CruSal,ON,full,M:M,2728
CruBra,ON,full,one:one,7605
CruBra,ON,full,1:M,7498
CruBra,ON,full,M:1,637
CruBra,ON,full,M:M,3011
CruCsa,ON,full,one:one,350
CruCsa,ON,full,1:M,15059
CruCsa,ON,full,M:1,57
CruCsa,ON,full,M:M,3679
CruAar,ON,full,one:one,12023
CruAar,ON,full,1:M,1485
CruAar,ON,full,M:1,1834
CruAar,ON,full,M:M,1382
TarSal,ON,full,one:one,6097
TarSal,ON,full,1:M,6081
TarSal,ON,full,M:1,1193
TarSal,ON,full,M:M,2908
TarBra,ON,full,one:one,5978
TarBra,ON,full,1:M,6361
TarBra,ON,full,M:1,1091
TarBra,ON,full,M:M,3076
TarCsa,ON,full,one:one,220
TarCsa,ON,full,1:M,12295
TarCsa,ON,full,M:1,78
TarCsa,ON,full,M:M,4143
TarAar,ON,full,one:one,9784
TarAar,ON,full,1:M,1412
TarAar,ON,full,M:1,2541
TarAar,ON,full,M:M,1268
SalBra,ON,full,one:one,6734
SalBra,ON,full,1:M,1741
SalBra,ON,full,M:1,1339
SalBra,ON,full,M:M,8667
SalCsa,ON,full,one:one,231
SalCsa,ON,full,1:M,8245
SalCsa,ON,full,M:1,124
SalCsa,ON,full,M:M,9817
SalAar,ON,full,one:one,6524
SalAar,ON,full,1:M,779
SalAar,ON,full,M:1,7085
SalAar,ON,full,M:M,2057
BraCsa,ON,full,one:one,218
BraCsa,ON,full,1:M,8055
BraCsa,ON,full,M:1,159
BraCsa,ON,full,M:M,10360
BraAar,ON,full,one:one,6424
BraAar,ON,full,1:M,683
BraAar,ON,full,M:1,7384
BraAar,ON,full,M:M,2185
CsaAar,ON,full,one:one,196
CsaAar,ON,full,1:M,28
CsaAar,ON,full,M:1,13724
CsaAar,ON,full,M:M,2860
AthChi,SPd,full,one:one,17084
AthChi,SPd,full,1:M,562
AthChi,SPd,full,M:1,728
AthChi,SPd,full,M:M,1255
AthCru,SPd,full,one:one,17464
AthCru,SPd,full,1:M,660
AthCru,SPd,full,M:1,559
AthCru,SPd,full,M:M,1488
AthTar,SPd,full,one:one,14103
AthTar,SPd,full,1:M,522
AthTar,SPd,full,M:1,935
AthTar,SPd,full,M:M,830
AthSal,SPd,full,one:one,10540
AthSal,SPd,full,1:M,6120
AthSal,SPd,full,M:1,543
AthSal,SPd,full,M:M,1326
AthBra,SPd,full,one:one,10710
AthBra,SPd,full,1:M,6598
AthBra,SPd,full,M:1,514
AthBra,SPd,full,M:M,1455
AthCsa,SPd,full,one:one,1170
AthCsa,SPd,full,1:M,17059
AthCsa,SPd,full,M:1,99
AthCsa,SPd,full,M:M,1969
AthAar,SPd,full,one:one,14074
AthAar,SPd,full,1:M,537
AthAar,SPd,full,M:1,876
AthAar,SPd,full,M:M,674
ChiCru,SPd,full,one:one,16800
ChiCru,SPd,full,1:M,814
ChiCru,SPd,full,M:1,542
ChiCru,SPd,full,M:M,1220
ChiTar,SPd,full,one:one,13974
ChiTar,SPd,full,1:M,552
ChiTar,SPd,full,M:1,820
ChiTar,SPd,full,M:M,756
ChiSal,SPd,full,one:one,10410
ChiSal,SPd,full,1:M,6165
ChiSal,SPd,full,M:1,486
ChiSal,SPd,full,M:M,1192
ChiBra,SPd,full,one:one,10567
ChiBra,SPd,full,1:M,6636
ChiBra,SPd,full,M:1,416
ChiBra,SPd,full,M:M,1321
ChiCsa,SPd,full,one:one,1072
ChiCsa,SPd,full,1:M,16666
ChiCsa,SPd,full,M:1,101
ChiCsa,SPd,full,M:M,1700
ChiAar,SPd,full,one:one,13962
ChiAar,SPd,full,1:M,572
ChiAar,SPd,full,M:1,793
ChiAar,SPd,full,M:M,624
CruTar,SPd,full,one:one,13964
CruTar,SPd,full,1:M,498
CruTar,SPd,full,M:1,955
CruTar,SPd,full,M:M,836
CruSal,SPd,full,one:one,10480
CruSal,SPd,full,1:M,6071
CruSal,SPd,full,M:1,571
CruSal,SPd,full,M:M,1348
CruBra,SPd,full,one:one,10686
CruBra,SPd,full,1:M,6568
CruBra,SPd,full,M:1,550
CruBra,SPd,full,M:M,1506
CruCsa,SPd,full,one:one,1255
CruCsa,SPd,full,1:M,17072
CruCsa,SPd,full,M:1,110
CruCsa,SPd,full,M:M,2110
CruAar,SPd,full,one:one,13939
CruAar,SPd,full,1:M,524
CruAar,SPd,full,M:1,886
CruAar,SPd,full,M:M,677
TarSal,SPd,full,one:one,8939
TarSal,SPd,full,1:M,5489
TarSal,SPd,full,M:1,381
TarSal,SPd,full,M:M,936
TarBra,SPd,full,one:one,9001
TarBra,SPd,full,1:M,5857
TarBra,SPd,full,M:1,338
TarBra,SPd,full,M:M,1019
TarCsa,SPd,full,one:one,823
TarCsa,SPd,full,1:M,14260
TarCsa,SPd,full,M:1,71
TarCsa,SPd,full,M:M,1310
TarAar,SPd,full,one:one,12052
TarAar,SPd,full,1:M,645
TarAar,SPd,full,M:1,634
TarAar,SPd,full,M:M,454
SalBra,SPd,full,one:one,10416
SalBra,SPd,full,1:M,1899
SalBra,SPd,full,M:1,1466
SalBra,SPd,full,M:M,6069
SalCsa,SPd,full,one:one,718
SalCsa,SPd,full,1:M,10458
SalCsa,SPd,full,M:1,322
SalCsa,SPd,full,M:M,7130
SalAar,SPd,full,one:one,8670
SalAar,SPd,full,1:M,317
SalAar,SPd,full,M:1,5696
SalAar,SPd,full,M:M,861
BraCsa,SPd,full,one:one,755
BraCsa,SPd,full,1:M,10502
BraCsa,SPd,full,M:1,349
BraCsa,SPd,full,M:M,7730
BraAar,SPd,full,one:one,8722
BraAar,SPd,full,1:M,308
BraAar,SPd,full,M:1,5984
BraAar,SPd,full,M:M,890
CsaAar,SPd,full,one:one,712
CsaAar,SPd,full,1:M,44
CsaAar,SPd,full,M:1,14200
CsaAar,SPd,full,M:M,1177
AthChi,SPm,full,one:one,17195
AthChi,SPm,full,1:M,523
AthChi,SPm,full,M:1,706
AthChi,SPm,full,M:M,1234
AthCru,SPm,full,one:one,17560
AthCru,SPm,full,1:M,638
AthCru,SPm,full,M:1,536
AthCru,SPm,full,M:M,1454
AthTar,SPm,full,one:one,14186
AthTar,SPm,full,1:M,518
AthTar,SPm,full,M:1,904
AthTar,SPm,full,M:M,817
AthSal,SPm,full,one:one,10553
AthSal,SPm,full,1:M,6194
AthSal,SPm,full,M:1,514
AthSal,SPm,full,M:M,1294
AthBra,SPm,full,one:one,10737
AthBra,SPm,full,1:M,6647
AthBra,SPm,full,M:1,490
AthBra,SPm,full,M:M,1425
AthCsa,SPm,full,one:one,1182
AthCsa,SPm,full,1:M,17103
AthCsa,SPm,full,M:1,92
AthCsa,SPm,full,M:M,1921
AthAar,SPm,full,one:one,14169
AthAar,SPm,full,1:M,505
AthAar,SPm,full,M:1,858
AthAar,SPm,full,M:M,664
ChiCru,SPm,full,one:one,16928
ChiCru,SPm,full,1:M,789
ChiCru,SPm,full,M:1,503
ChiCru,SPm,full,M:M,1192
ChiTar,SPm,full,one:one,14048
ChiTar,SPm,full,1:M,540
ChiTar,SPm,full,M:1,797
ChiTar,SPm,full,M:M,747
ChiSal,SPm,full,one:one,10409
ChiSal,SPm,full,1:M,6233
ChiSal,SPm,full,M:1,465
ChiSal,SPm,full,M:M,1160
ChiBra,SPm,full,one:one,10587
ChiBra,SPm,full,1:M,6694
ChiBra,SPm,full,M:1,403
ChiBra,SPm,full,M:M,1283
ChiCsa,SPm,full,one:one,1086
ChiCsa,SPm,full,1:M,16715
ChiCsa,SPm,full,M:1,90
ChiCsa,SPm,full,M:M,1652
ChiAar,SPm,full,one:one,14060
ChiAar,SPm,full,1:M,545
ChiAar,SPm,full,M:1,773
ChiAar,SPm,full,M:M,612
CruTar,SPm,full,one:one,14045
CruTar,SPm,full,1:M,490
CruTar,SPm,full,M:1,924
CruTar,SPm,full,M:M,830
CruSal,SPm,full,one:one,10487
CruSal,SPm,full,1:M,6157
CruSal,SPm,full,M:1,557
CruSal,SPm,full,M:M,1315
CruBra,SPm,full,one:one,10701
CruBra,SPm,full,1:M,6631
CruBra,SPm,full,M:1,544
CruBra,SPm,full,M:M,1463
CruCsa,SPm,full,one:one,1255
CruCsa,SPm,full,1:M,17111
CruCsa,SPm,full,M:1,97
CruCsa,SPm,full,M:M,2061
CruAar,SPm,full,one:one,14028
CruAar,SPm,full,1:M,506
CruAar,SPm,full,M:1,881
CruAar,SPm,full,M:M,658
TarSal,SPm,full,one:one,8933
TarSal,SPm,full,1:M,5551
TarSal,SPm,full,M:1,372
TarSal,SPm,full,M:M,923
TarBra,SPm,full,one:one,9015
TarBra,SPm,full,1:M,5896
TarBra,SPm,full,M:1,332
TarBra,SPm,full,M:M,1006
TarCsa,SPm,full,one:one,836
TarCsa,SPm,full,1:M,14291
TarCsa,SPm,full,M:1,63
TarCsa,SPm,full,M:M,1295
TarAar,SPm,full,one:one,12120
TarAar,SPm,full,1:M,613
TarAar,SPm,full,M:1,618
TarAar,SPm,full,M:M,455
SalBra,SPm,full,one:one,10438
SalBra,SPm,full,1:M,1857
SalBra,SPm,full,M:1,1449
SalBra,SPm,full,M:M,6132
SalCsa,SPm,full,one:one,715
SalCsa,SPm,full,1:M,10434
SalCsa,SPm,full,M:1,323
SalCsa,SPm,full,M:M,7176
SalAar,SPm,full,one:one,8674
SalAar,SPm,full,1:M,312
SalAar,SPm,full,M:1,5771
SalAar,SPm,full,M:M,827
BraCsa,SPm,full,one:one,753
BraCsa,SPm,full,1:M,10492
BraCsa,SPm,full,M:1,352
BraCsa,SPm,full,M:M,7737
BraAar,SPm,full,one:one,8743
BraAar,SPm,full,1:M,299
BraAar,SPm,full,M:1,6042
BraAar,SPm,full,M:M,863
CsaAar,SPm,full,one:one,714
CsaAar,SPm,full,1:M,38
CsaAar,SPm,full,M:1,14266
CsaAar,SPm,full,M:M,1137
