algorithm,SpeciesPair,numberOfExactOG,totalOG,proportionOfExactOG,meanJI,sdJI,seJI
ON,AthSal,5700,19640,0.29022403258655805,0.46831952806825333,0.38441253816173093,0.0027430062846064054
ON,AthBra,5970,19639,0.3039869647130709,0.49015950342682973,0.38013527887738197,0.0027125546180666957
ON,AthCsa,206,19644,0.010486662594176339,0.2714512131218612,0.17917504163849216,0.0012783876055381862
ON,AthAar,8181,19638,0.4165902841429881,0.5084352850036963,0.44164281293623336,0.0031515379380225193
ON,ChiCru,10627,19290,0.5509072058061172,0.6431050237125344,0.4179183658059449,0.0030090218626881698
ON,ChiTar,7220,19290,0.3742871954380508,0.47832444875658425,0.43429604213576706,0.0031269415096063635
ON,ChiSal,5225,19290,0.27086573354069465,0.44964394474079034,0.38291081157479684,0.002756966665645983
ON,ChiBra,5492,19291,0.28469234357990775,0.47247787008857284,0.3780197221397323,0.0027216801635352047
ON,ChiCsa,169,19293,0.008759653760431245,0.2617789066145376,0.18018648649128352,0.00129724598368225
ON,ChiAar,7585,19290,0.39320891653706586,0.488513744605796,0.4387927434244856,0.003159317862489632
ON,CruTar,7726,19524,0.3957180905552141,0.49926026967948584,0.43644392626861156,0.0031235182988159963
ON,CruSal,5645,19528,0.28907210159770586,0.46898558552488945,0.38395574086729733,0.0027475922473633456
ON,CruBra,5990,19527,0.30675474983356377,0.49558302607123983,0.3789547268491668,0.002711874362797969
ON,CruCsa,230,19528,0.011777959852519459,0.2881365131642235,0.18365336531358667,0.0013142258573813077
ON,CruAar,8084,19525,0.414033290653009,0.5068452079178166,0.44117449089327676,0.0031572928923265203
ON,TarSal,4384,17080,0.2566744730679157,0.45121313768280463,0.38139474879534213,0.0029183056504347876
ON,TarBra,4414,17081,0.258415783619226,0.450144955205287,0.37831936513861264,0.0028946891005950624
ON,TarCsa,108,17079,0.006323555243281222,0.2313191014382904,0.17753069836831414,0.0013584455711870484
ON,TarAar,6161,17077,0.360777654154711,0.46650728487348564,0.4311756240570147,0.0032995021173950812
ON,SalBra,5985,18914,0.3164322723908216,0.44475258411210083,0.40083112998085435,0.002914538192080439
ON,SalCsa,116,18910,0.006134320465362242,0.1756124473935375,0.15454543471056886,0.0011238553466926806
ON,SalAar,4645,17064,0.2722105016408814,0.46040288952932923,0.3786990824907441,0.002899037490409534
ON,BraCsa,125,19312,0.006472659486329743,0.18259545938471378,0.1570036670182373,0.0011297859502356691
ON,BraAar,4708,17065,0.2758863170231468,0.4629299945064969,0.3777345632435994,0.0028915691250955
ON,CsaAar,101,17062,0.005919587387176181,0.23318825110917105,0.16953746401486294,0.0012979283355276023
SPd,AthChi,11823,21687,0.5451653064047586,0.6299157799049917,0.4324586623941313,0.0029366004497217366
SPd,AthCru,13177,21704,0.6071231109472908,0.6826391629096656,0.41888912560892655,0.002843342625973065
SPd,AthTar,8526,21602,0.3946856772521063,0.4870126147719989,0.44691237928987343,0.003040712810054434
SPd,AthSal,6337,21650,0.29270207852193997,0.45551812370203454,0.3979697179229669,0.002704712305428362
SPd,AthBra,6705,21657,0.30959966754398116,0.47808464488169533,0.3955300178048761,0.0026876969629095106
SPd,AthCsa,382,21690,0.017611802674043338,0.2834043790465133,0.2030187558200741,0.0013784987794545282
SPd,AthAar,8640,21556,0.40081647801076264,0.4856432798122713,0.45008135167663055,0.0030655396070728134
SPd,ChiCru,11778,21501,0.5477884749546533,0.629760602165806,0.435658003137804,0.0029710938264480686
SPd,ChiTar,8127,21410,0.37958897711349837,0.4699455630943018,0.4481613092163465,0.003062852104102838
SPd,ChiSal,6058,21482,0.2820035378456382,0.44112639850562263,0.4005825737947153,0.0027330948039422827
SPd,ChiBra,6380,21528,0.2963582311408398,0.4633647130330209,0.39716742903912117,0.002706897326956079
SPd,ChiCsa,376,21676,0.01734637386971766,0.27269726118123516,0.20954860161270178,0.001423295891827443
SPd,ChiAar,8191,21288,0.38477076287110107,0.4713966369307368,0.4496852465847655,0.003082060847827424
SPd,CruTar,8520,21579,0.39482830529681634,0.4857182969379083,0.4476962205387518,0.0030476688106364706
SPd,CruSal,6349,21631,0.2935139383292497,0.45501834029502103,0.39838537291302334,0.0027087260591182943
SPd,CruBra,6801,21641,0.31426459036088905,0.4842937059411708,0.3949957318018838,0.0026850584262631994
SPd,CruCsa,473,21727,0.021770147742440283,0.30373981391146937,0.21098701811552634,0.0014313829905951948
SPd,CruAar,8528,21561,0.39552896433375073,0.4812321234811155,0.449398749192724,0.0030605354165781757
SPd,TarSal,5360,18386,0.291526161209616,0.4662798704460417,0.40229093594623466,0.0029668570373561527
SPd,TarBra,5300,18369,0.2885295878926452,0.463322611865654,0.3978960358512619,0.0029358026307519875
SPd,TarCsa,228,18357,0.012420330119300538,0.24751152955590355,0.20224747483457783,0.0014927334126297283
SPd,TarAar,6616,18212,0.36327696024599165,0.46536090601659014,0.4416376215606123,0.0032725571647133104
SPd,SalBra,7403,21758,0.3402426693629929,0.4568931146013169,0.41831150606687617,0.0028358961579143063
SPd,SalCsa,211,21473,0.009826293484841429,0.180366708228638,0.1746151218039954,0.0011916137041758552
SPd,SalAar,5153,17377,0.2965414053058641,0.4718792444993701,0.39351251611696647,0.0029851843049765545
SPd,BraCsa,245,22513,0.010882601163772043,0.18371149581666477,0.18022404226715905,0.0012011466672957342
SPd,BraAar,5267,17372,0.30318903983421597,0.47587912694835477,0.39338072531497165,0.0029846139628266063
SPd,CsaAar,201,17360,0.011578341013824885,0.2501893984975231,0.19249467776347878,0.0014609786381270886
SPm,AthChi,11863,21682,0.5471358730744397,0.6317078391422407,0.43204313928949223,0.002934117103832415
SPm,AthCru,13198,21705,0.6080626583736466,0.6833865008444558,0.41883367148344386,0.002842900721732692
SPm,AthTar,8549,21603,0.3957320742489469,0.48757077507318,0.44718241574136974,0.003042479669890552
SPm,AthSal,6354,21652,0.29346018843524846,0.4561569891115125,0.398019788868453,0.002704927665389632
SPm,AthBra,6713,21660,0.30992613111726686,0.4784473785827655,0.3954899317658265,0.002687238454950445
SPm,AthCsa,381,21685,0.017569748674198755,0.2841213141620228,0.2027473277375223,0.0013768144823221942
SPm,AthAar,8651,21554,0.4013640159599146,0.48631758673132575,0.45010748123860544,0.003065859808557918
SPm,ChiCru,11803,21481,0.5494623155346585,0.6317564209270351,0.4350174523165249,0.0029681061791598227
SPm,ChiTar,8131,21397,0.38000654297331404,0.4705977599846094,0.44810987672749936,0.0030634307888999053
SPm,ChiSal,6082,21466,0.28333178049007735,0.4423429159276846,0.40077789528505126,0.002735446326522996
SPm,ChiBra,6389,21506,0.2970798846833442,0.4641605353191421,0.3970379673321652,0.002707398712542281
SPm,ChiCsa,375,21664,0.017309822747415066,0.273266538325343,0.20954293890399472,0.0014236515563513265
SPm,ChiAar,8206,21277,0.3856746721812286,0.472272829839055,0.44978969965167537,0.003083573529820624
SPm,CruTar,8541,21563,0.3960951630107128,0.48682948975802987,0.44777331844507273,0.0030493243387269445
SPm,CruSal,6355,21612,0.29404960207292247,0.4559252563613502,0.39823352665307654,0.002708883577845093
SPm,CruBra,6817,21612,0.3154266148436054,0.4860776882731168,0.3946509893451188,0.00268451426729983
SPm,CruCsa,464,21715,0.021367718167165553,0.30442463141250947,0.21041299634723648,0.0014278830691024182
SPm,CruAar,8539,21546,0.39631486122714193,0.48207990273212625,0.44948864225638757,0.0030622129913230618
SPm,TarSal,5380,18413,0.29218486938576005,0.46671814000205236,0.40247448962923826,0.0029660337040286243
SPm,TarBra,5308,18385,0.28871362523796573,0.46344907236795746,0.397928831049308,0.0029347667433589943
SPm,TarCsa,229,18387,0.012454451514657095,0.24741788743659476,0.2024882256776283,0.001493290618963977
SPm,TarAar,6610,18242,0.36235061944962177,0.4640640521218195,0.44156954454987685,0.003269361065710559
SPm,SalBra,7435,21747,0.34188623718214006,0.45847884222863095,0.4184272263653539,0.0028373980005651682
SPm,SalCsa,215,21471,0.01001350659028457,0.18049162770531943,0.17479498886300468,0.0011928967129323234
SPm,SalAar,5166,17401,0.2968794896845009,0.4719742696178802,0.3938213351646098,0.002985466049057509
SPm,BraCsa,246,22515,0.010926049300466355,0.18374820863907085,0.1803210150076744,0.0012017395869299177
SPm,BraAar,5264,17389,0.30272011041462993,0.47549570664914403,0.39335481296089847,0.0029829581795267094
SPm,CsaAar,201,17383,0.011563021342691136,0.25018258337394306,0.19267275364707417,0.001461362434309302
BR,AthChi,11741,21771,0.5392953929539296,0.6296835604163911,0.42881288697317793,0.002906221020629105
BR,AthCru,13294,21783,0.6102924298765092,0.6870521147760535,0.4157855526866991,0.002817153745008818
BR,AthTar,8379,21735,0.3855072463768116,0.48326819262304294,0.443360286008964,0.00300730146833682
BR,AthSal,6135,21751,0.2820559974254057,0.452223508149977,0.39167263152058457,0.0026557281174929325
BR,AthBra,6551,21756,0.30111233682662253,0.47775422172948956,0.38997196354295754,0.002643892909400716
BR,AthCsa,241,21758,0.011076385697214818,0.273120172953389,0.18442767721077977,0.001250306849392506
BR,AthAar,8413,21728,0.3871962444771723,0.47683914113268483,0.44614512335442946,0.003026678375819673
BR,ChiCru,11709,21517,0.5441743737509875,0.6287908615254038,0.43224948810744157,0.0029467522763955587
BR,ChiTar,7822,21447,0.3647130134750781,0.46146558251709247,0.4420699984414843,0.003018615280472261
BR,ChiSal,5711,21498,0.26565261884826497,0.43356873921767364,0.39177493941084207,0.002672007192540477
BR,ChiBra,6116,21512,0.28430643361844554,0.4589919945344687,0.38992882605842943,0.0026585507040504434
BR,ChiCsa,190,21558,0.0088134335281566,0.2601678864668452,0.18692343661491861,0.0012730912205955575
BR,ChiAar,7868,21426,0.3672173994212639,0.45840568715595287,0.44374439498084073,0.0030315332094757916
BR,CruTar,8346,21679,0.384980857050602,0.4821475235437947,0.44378815349398465,0.0030140890712845557
BR,CruSal,6093,21689,0.2809258149292268,0.4520413211310895,0.391185258180512,0.0026562118854528767
BR,CruBra,6632,21701,0.30560803649601403,0.4837902049192566,0.389141358329022,0.0026416028046872854
BR,CruCsa,278,21713,0.012803389674388614,0.29158127756100705,0.18916422508102645,0.0012837459588075518
BR,CruAar,8313,21675,0.3835294117647059,0.4740078352007078,0.4454890548591358,0.0030259203028700473
BR,TarSal,4921,18535,0.2654977070407337,0.4488229110989821,0.3933558630751458,0.002889278012830279
BR,TarBra,4977,18514,0.26882359295668146,0.44927253314392285,0.39091970847031454,0.002873011977294271
BR,TarCsa,112,18518,0.006048169348741765,0.2318234103984246,0.1833977977008904,0.0013477119410513184
BR,TarAar,6369,18432,0.3455403645833333,0.4490360753910934,0.4366171126064923,0.0032159887615223035
BR,SalBra,7217,21020,0.3433396764985728,0.46076758765260833,0.41469882165043337,0.0028603320044952754
BR,SalCsa,131,20877,0.006274847918762275,0.17564852771931866,0.1597207420845062,0.0011054198876178467
BR,SalAar,4900,17490,0.2801600914808462,0.45715767174000893,0.38978853722182,0.0029473666062013455
BR,BraAar,5042,17494,0.28821310163484626,0.4623269059051721,0.39077827978815877,0.0029545126629774484
BR,CsaAar,103,17505,0.00588403313339046,0.2332404737676281,0.1763634496095768,0.0013329919519737673
BR,BraCsa,154,22015,0.0069952305246422895,0.18059911664942563,0.16341951864154936,0.0011013987570503497
