,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
0,SPd,AthChi,11823,25248,0.4682747148288973,0.5547254688926455,0.4479059542100342,0.0028188589486194075
1,SPd,AthCru,13177,25265,0.5215515535325549,0.601830512398623,0.44320016606396767,0.002788304907792839
2,SPd,AthTar,8526,25163,0.3388308230338195,0.42866353443814953,0.4440062160626499,0.0027990318574110428
3,SPd,AthSal,6337,25211,0.25135853397326563,0.40070567710956273,0.3974029084364274,0.0025028568154917166
4,SPd,AthBra,6705,25218,0.2658815132048537,0.4212493392370774,0.39753363545991355,0.002503332629394156
5,SPd,AthCsa,382,25251,0.01512811373806978,0.25214726431203893,0.20805190528215337,0.0013092796156729536
6,SPd,AthAar,8640,25117,0.3439901262093403,0.42606324059513584,0.44729956248708413,0.0028223741811953394
7,SPd,ChiCru,11778,24583,0.479111581173982,0.5628570795217449,0.44977988503429167,0.0028686831899981543
8,SPd,ChiTar,8127,24492,0.33182263596276335,0.4198942985824992,0.4442826218114969,0.002838881081751984
9,SPd,ChiSal,6058,24564,0.24662107148672854,0.3941443451431908,0.3988454728634398,0.002544808592891201
10,SPd,ChiBra,6380,24610,0.2592442096708655,0.41448046909788977,0.3976589148340622,0.0025348654741913254
11,SPd,ChiCsa,376,24758,0.015187010259310123,0.24587924696673963,0.2126921581910687,0.001351741660092743
12,SPd,ChiAar,8191,24370,0.3361099712761592,0.4203076946998488,0.44620886218545125,0.0028583172283057857
13,SPd,CruTar,8520,25654,0.33211195135261556,0.41919419046318845,0.4440678218092381,0.0027725013042319336
14,SPd,CruSal,6349,25706,0.2469851396561114,0.3927809237540479,0.3976574291926519,0.0024802293869472945
15,SPd,CruBra,6801,25716,0.2644657022865142,0.41867859500182436,0.3980514851252046,0.00248220439395759
16,SPd,CruCsa,473,25802,0.018331912254863966,0.265969655502998,0.21763398954374083,0.0013548775226909276
17,SPd,CruAar,8528,25636,0.332657200811359,0.41414901559062495,0.44568721947460843,0.0027835885985814405
18,SPd,TarSal,5360,20932,0.2560672654309192,0.41793678022032754,0.4031379048522506,0.0027864308602713155
19,SPd,TarBra,5300,20915,0.2534066459478843,0.4153027335799315,0.39877564967458906,0.002757399527214768
20,SPd,TarCsa,228,20903,0.010907525235612113,0.22287441301638364,0.20446562851978808,0.0014142168309324754
21,SPd,TarAar,6616,20758,0.3187204933037865,0.41553606897844525,0.43900344544737036,0.0030470190885326237
22,SPd,SalBra,7403,33797,0.21904311033523685,0.33490853570358825,0.392030198921505,0.002132457807703887
23,SPd,SalCsa,211,33512,0.006296252088804011,0.138376009717872,0.17154432254712096,0.000937078935412233
24,SPd,SalAar,5153,33472,0.15394956978967494,0.24906205243624718,0.36895589522841876,0.0020166643569466953
25,SPd,BraCsa,245,35486,0.0069041312066730545,0.14080026382753508,0.17574608879325285,0.0009329473695169618
26,SPd,BraAar,5267,35274,0.1493167772296876,0.23834579154343483,0.36484307643689357,0.001942579287654134
27,SPd,CsaAar,201,19710,0.010197869101978691,0.22519529096044746,0.19644158127054745,0.0013992332257686823
0,SPm,AthChi,11863,25242,0.46997068378099993,0.5558646045075818,0.4480821471197175,0.002820302936025738
1,SPm,AthCru,13198,25265,0.5223827429249951,0.6021466292150662,0.4434860713648359,0.0027901036236206212
2,SPm,AthTar,8549,25163,0.3397448634900449,0.42881187993435527,0.4443711963136162,0.002801332706617254
3,SPm,AthSal,6354,25212,0.252022846263684,0.4009573094364274,0.39762504814771527,0.002504206194367582
4,SPm,AthBra,6713,25220,0.2661776367961935,0.42132243738262337,0.3976459742508822,0.0025039407548193412
5,SPm,AthCsa,381,25245,0.015092097445038621,0.25247848147762897,0.20808690257026421,0.0013096554608277404
6,SPm,AthAar,8651,25114,0.34446922035518035,0.42644554743285296,0.4474452490943218,0.0028234620592815242
7,SPm,ChiCru,11803,24558,0.48061731411352715,0.5642891858446062,0.4497068893955215,0.0028696771747524514
8,SPm,ChiTar,8131,24474,0.3322301217618697,0.42027210930744563,0.44436859239340964,0.0028404743895932174
9,SPm,ChiSal,6082,24543,0.24780996618180337,0.39498231527002925,0.39923235559338205,0.0025483666184400173
10,SPm,ChiBra,6389,24583,0.25989504942439895,0.4150037733811123,0.3977177719550907,0.0025366325278955125
11,SPm,ChiCsa,375,24741,0.015157026797623378,0.24617522925921245,0.21277441819055926,0.0013527289577041056
12,SPm,ChiAar,8206,24354,0.3369467028003613,0.420870388928661,0.446408114076049,0.0028605327810476877
13,SPm,CruTar,8541,25644,0.3330603649976603,0.4195860753041921,0.4443793108454112,0.0027749869621827034
14,SPm,CruSal,6355,25693,0.24734363445296384,0.39318425482297215,0.39771651484819914,0.0024812253902693868
15,SPm,CruBra,6817,25693,0.2653251858482855,0.4197432663818561,0.39814137202165434,0.0024838759374975236
16,SPm,CruCsa,464,25796,0.017987284850364396,0.26620460400448165,0.21747218860344794,0.0013540276751055288
17,SPm,CruAar,8539,25627,0.3332032621844149,0.41457387669835793,0.4458785767574527,0.0027852726956621152
18,SPm,TarSal,5380,20958,0.256703883958393,0.4180414877462251,0.40348597679429815,0.0027871062638458103
19,SPm,TarBra,5308,20930,0.25360726230291447,0.41526605975864944,0.39892593830374107,0.002757450093861995
20,SPm,TarCsa,229,20932,0.010940187273074718,0.22262164518674254,0.20466752756306344,0.0014146323330875104
21,SPm,TarAar,6610,20787,0.31798720354067445,0.4143976188986352,0.43885036239735525,0.0030438311225884124
22,SPm,SalBra,7435,33976,0.2188309394866965,0.3340618590276471,0.3921470125851632,0.002127466777488662
23,SPm,SalCsa,215,33700,0.0063798219584569734,0.13771527443031326,0.1715149979198472,0.0009343017277306673
24,SPm,SalAar,5166,33653,0.15350785962618488,0.2480846521541579,0.36868270224768124,0.0020097445944245403
25,SPm,BraCsa,246,35547,0.006920415224913495,0.1406172749753378,0.17581346633727904,0.0009325039056585252
26,SPm,BraAar,5264,35336,0.14896988906497624,0.23783339002547868,0.36458156452453183,0.0019394831513768365
27,SPm,CsaAar,201,19722,0.010191664131426833,0.2252198861891188,0.1965584058989691,0.0013996393506226427
