SpPair,one:one,1:M,M:1,M:M
AthChi,15286,1449,883,1950
AthCru,16084,902,824,2061
AthTar,12302,1688,1120,1335
AthAar,13522,1221,1821,410
ChiCru,15073,931,1425,1891
ChiTar,11786,1585,1543,1430
ChiAar,13002,1205,2300,430
CruTar,12160,1663,1170,1326
CruAar,13393,1204,1826,407
TarAar,11032,1088,2217,365
