SpPair,one:one,1:M,M:1,M:M
AthChi,17688,530,762,919
AthCru,18065,658,590,1131
AthTar,14571,478,916,559
AthAar,14447,470,883,445
ChiCru,17393,807,517,885
ChiTar,14435,519,785,483
ChiAar,14394,510,745,396
CruTar,14413,459,936,568
CruAar,14320,455,860,452
TarAar,12499,568,552,272
