SpPair,one:one,1:M,M:1,M:M
AthChi,15032,1429,937,2013
AthCru,15789,917,839,2173
AthTar,11979,1749,1167,1380
AthAar,13356,1244,1952,414
ChiCru,14801,993,1414,1957
ChiTar,11490,1647,1533,1452
ChiAar,12849,1223,2364,437
CruTar,11856,1700,1190,1385
CruAar,13217,1234,1948,405
TarAar,10850,1079,2295,386
