SpPair,one:one,1:M,M:1,M:M
AthChi,16340,1136,752,1489
AthCru,17138,697,687,1576
AthTar,13881,1048,1166,855
AthAar,13579,784,1034,747
ChiCru,16171,770,1131,1429
ChiTar,13419,944,1480,907
ChiAar,13180,748,1359,756
CruTar,13790,1038,1183,839
CruAar,13542,763,989,745
TarAar,11813,948,1043,473
