SpPair,one:one,1:M,M:1,M:M
AthChi,17817,513,743,889
AthCru,18177,647,577,1091
AthTar,14656,477,902,541
AthAar,14563,459,856,426
ChiCru,17546,779,486,860
ChiTar,14515,506,766,477
ChiAar,14502,491,725,381
CruTar,14512,439,897,563
CruAar,14427,457,846,420
TarAar,12575,539,532,276
