SpPair,one:one,1:M,M:1,M:M
AthChi,15165,1459,903,1976
AthCru,15950,933,837,2098
AthTar,12195,1741,1150,1348
AthAar,13479,1255,1890,407
ChiCru,14925,961,1433,1928
ChiTar,11671,1613,1554,1449
ChiAar,12921,1226,2379,424
CruTar,12047,1679,1194,1354
CruAar,13322,1235,1909,399
TarAar,10977,1084,2280,372
