SpPair,one:one,1:M,M:1,M:M
AthChi,12508,1711,1009,3309
AthCru,13383,950,906,3429
AthTar,10258,2162,1607,2368
AthAar,11263,1428,2055,1787
ChiCru,12357,1053,1703,3233
ChiTar,9639,2033,2118,2470
ChiAar,10610,1385,2626,1820
CruTar,10177,2137,1613,2362
CruAar,11164,1456,2067,1732
TarAar,9178,1578,2705,1436
