"","program","n","mean","median","sd","se","mean_se_high","mean_se_low"
"1","BR",24337,6.73213625344126,8,1.89748783102204,0.0121631336347425,6.744299387076,6.71997311980652
"2","OF_blast",23880,6.68031825795645,8,2.00438764057647,0.0129707340558295,6.69328899201228,6.66734752390062
"3","OF_diamond",24875,6.55380904522613,8,2.08933248365692,0.0132472585232746,6.56705630374941,6.54056178670286
"4","OF_mmseqs",24219,6.65229778273257,8,2.02500064617156,0.0130120901213589,6.66530987285392,6.63928569261121
"5","ON",20492,7.32837204762834,8,1.38839674693161,0.00969887615435618,7.3380709237827,7.31867317147399
"6","SP_diamond",24600,6.52865853658537,8,2.07309608469688,0.0132175778754551,6.54187611446082,6.51544095870991
"7","SP_mmseqs",24519,6.54936987642237,8,2.05884541217098,0.0131483834832307,6.5625182599056,6.53622149293914
