"","BR...1","OF_blast...2","OF_diamond...3","OF_mmseqs...4","ON...5","SP_diamond...6","BR...7","OF_blast...8","OF_diamond...9","OF_mmseqs...10","ON...11","SP_diamond...12","BR...13","OF_blast...14","OF_diamond...15","OF_mmseqs...16","ON...17","SP_diamond...18","BR...19","OF_blast...20","OF_diamond...21","OF_mmseqs...22","ON...23","SP_diamond...24","BR...25","OF_blast...26","OF_diamond...27","OF_mmseqs...28","ON...29","SP_diamond...30","BR...31","OF_blast...32","OF_diamond...33","OF_mmseqs...34","ON...35","SP_diamond...36","BR...37","OF_blast...38","OF_diamond...39","OF_mmseqs...40","ON...41","SP_diamond...42","BR...43","OF_blast...44","OF_diamond...45","OF_mmseqs...46","ON...47","SP_diamond...48"
"1",1.37277430703284e-32,NA,NA,NA,NA,NA,1.26557504585237e-05,NA,NA,NA,NA,NA,0.031152889680506,NA,NA,NA,NA,NA,2.88355159131335e-16,NA,NA,NA,NA,NA,1.47907196768984e-06,NA,NA,NA,NA,NA,3.78589650524431e-127,NA,NA,NA,NA,NA,0.0113335425323753,NA,NA,NA,NA,NA,0.00297203496914631,NA,NA,NA,NA,NA
"2",8.24175812985713e-09,9.13282697363157e-10,NA,NA,NA,NA,0.0109300691715692,1.31076694083003e-10,NA,NA,NA,NA,8.28342640519409e-07,7.82479978376393e-12,NA,NA,NA,NA,0.0162682402669989,6.90055658962496e-08,NA,NA,NA,NA,0.0187475093049326,2.42373094858464e-11,NA,NA,NA,NA,0,1.11594278539599e-50,NA,NA,NA,NA,2.16409281780722e-18,2.63701957155044e-09,NA,NA,NA,NA,0.294274948356572,0.000131569193695775,NA,NA,NA,NA
"3",4.18333071087781e-24,0.0848946336303101,1.18575525950562e-05,NA,NA,NA,0.0309425352609946,0.0374416153498028,1.16136414752378e-05,NA,NA,NA,0.0392962026757023,0.897847417796337,1.64024919385574e-11,NA,NA,NA,1.91569749760082e-11,0.165948166358087,6.01638051541277e-05,NA,NA,NA,0.0358246035073987,0.0127531375720195,3.04477317337109e-05,NA,NA,NA,2.0826911526679e-169,0.000689748317709455,2.66020077299893e-31,NA,NA,NA,0.0021336317229024,0.589265340240936,5.30047313894146e-08,NA,NA,NA,0.0417632173784795,0.393413018829057,0.00297203496914631,NA,NA,NA
"4",0,1.35352355222711e-187,6.03018451709043e-261,2.12998337537129e-206,NA,NA,0,1.97069372704699e-208,2.76417066289132e-305,3.19495638899258e-241,NA,NA,2.65626152836938e-212,2.97898451147477e-168,1.87859502823072e-264,4.49927883747404e-170,NA,NA,0,6.01343566667893e-191,2.56950887377695e-265,4.70838204845283e-211,NA,NA,1.23710394275873e-276,1.80356622045246e-173,1.56056660072222e-267,9.66641026151111e-209,NA,NA,5.12659002345629e-253,0,0,0,NA,NA,3.42574289183549e-196,1.61098917615223e-216,0,1.35456579158672e-224,NA,NA,1.44724622636001e-261,1.34052523415784e-191,4.70157662139776e-246,5.3956800852681e-205,NA,NA
"5",1.69880890800307e-11,9.07759061972317e-79,1.86468169874141e-36,6.27156843321711e-65,0,NA,1.55346845830304e-10,1.43657550994166e-24,0.000638190648652513,5.46156375490075e-16,0,NA,7.56711158744067e-49,2.0973152905999e-58,8.00098086450882e-20,8.80662269951287e-58,0,NA,1.3876251035959e-40,5.11768047667483e-96,4.83665305144427e-51,8.13702845895435e-84,0,NA,1.6044371757445e-06,2.59725210788313e-20,0.0332217435278714,5.68872127736861e-11,0,NA,0,4.81635159027667e-27,1.72051715008332e-07,5.88703554076409e-13,0,NA,1.01248939105898e-54,1.32992585199843e-35,1.81220475625281e-10,7.02524352603478e-33,0,NA,7.98225579380698e-54,3.8250845042522e-68,3.24701858214557e-41,6.57792961120468e-62,0,NA
"6",2.25114743137512e-10,6.32670135277317e-76,1.95650543250463e-34,2.62759496528901e-62,0,0.679155305263033,6.5565378456072e-10,8.76102065831093e-24,0.00138369402676419,2.62497106058872e-15,0,0.791692672355253,8.50162910285303e-45,2.5876839724611e-54,2.19910180841019e-17,1.05199750097246e-53,0,0.507439339057511,3.79571391703093e-40,1.15941765760428e-95,1.40808146236965e-50,2.08924434426504e-83,0,0.885899808058073,2.80657347338632e-06,5.06871953766735e-20,0.0405099493191271,1.02194113453127e-10,0,0.886534896163426,0,3.88486920928462e-26,4.73854381509642e-08,2.55558322706866e-12,0,0.794575258312891,2.20490761488042e-49,1.54454706524269e-31,2.43139380270263e-08,5.61375453590697e-29,0,0.400884779562316,9.87327184229382e-50,7.1573758207046e-64,7.85272844085348e-38,8.63545679289853e-58,0,0.507871341137753
